opentime,Order,Symbol,Type,Volume,openprice,S / L,T / P,closetime,State,,Comment,,,
2023.02.24 18:03:45,69257202,EURGBP,buy,2.49 / 2.49,market,,,2023.02.24 18:03:45,filled,,,,,
2023.02.24 18:19:23,69260442,GBPJPY,buy,0.99 / 0.99,market,,,2023.02.24 18:19:23,filled,,,,,
2023.02.24 18:23:11,69260950,EURGBP,sell,2.49 / 2.49, 0.88299,,,2023.02.24 18:23:11,filled,,[tp 0.88299],,,
2023.02.24 18:38:51,69264383,USDCAD,buy,0.22 / 0.22,market,,,2023.02.24 18:38:51,filled,,,,,
2023.02.24 19:03:19,69267348,GBPJPY,sell,0.99 / 0.99, 163.025,,,2023.02.24 19:03:19,filled,,[tp 163.025],,,
2023.02.24 21:38:44,69282178,EURUSD,buy,16.7 / 16.7,market,,,2023.02.24 21:38:44,filled,,,,,
2023.02.24 21:41:53,69282232,EURUSD,sell,16.7 / 16.7,market,,,2023.02.24 21:41:53,filled,,,,,
2023.02.24 21:46:18,69282385,USDCAD,buy,8.87 / 8.87,market,,,2023.02.24 21:46:18,filled,,,,,
2023.02.24 21:48:51,69282509,USDCAD,sell,9.09 / 9.09, 1.36045,,,2023.02.24 21:48:51,filled,,[sl 1.36045],,,
2023.02.28 19:19:02,69445945,USDMXN,buy,1.14 / 1.14,market,,,2023.02.28 19:19:02,filled,,,,,
2023.02.28 19:29:37,69446900,EURUSD,sell,1.53 / 1.53,market,,,2023.02.28 19:29:37,filled,,,,,
2023.02.28 19:44:43,69448289,USDCAD,buy,0.76 / 0.76,market,,,2023.02.28 19:44:43,filled,,,,,
2023.02.28 19:51:29,69449096,USDCHF,sell,0.52 / 0.52,market,,,2023.02.28 19:51:29,filled,,,,,
2023.02.28 19:54:34,69449268,EURUSD,buy,1.53 / 1.53, 1.06075,,,2023.02.28 19:54:34,filled,,[sl 1.06075],,,
2023.02.28 19:56:40,69449371,EURGBP,buy,0.91 / 0.91,market,,,2023.02.28 19:56:40,filled,,,,,
2023.02.28 20:04:36,69449676,GBPUSD,sell,0.5 / 0.5,market,,,2023.02.28 20:04:36,filled,,,,,
2023.02.28 20:14:07,69451285,EURMXN,buy,0.13 / 0.13,market,,,2023.02.28 20:14:07,filled,,,,,
2023.02.28 20:22:56,69452340,EURUSD,sell,0.4 / 0.4,market,,,2023.02.28 20:22:56,filled,,,,,
2023.02.28 20:27:40,69452483,USDCHF,buy,0.52 / 0.52, 0.93898,,,2023.02.28 20:27:40,filled,,[sl 0.93898],,,
2023.02.28 20:38:53,69454612,GBPUSD,buy,0.5 / 0.5, 1.20722,,,2023.02.28 20:38:53,filled,,[tp 1.20722],,,
2023.02.28 20:50:35,69456873,USDMXN,sell,1.14 / 1.14,market,,,2023.02.28 20:50:35,filled,,,,,
2023.02.28 20:52:26,69457229,USDMXN,sell,0.83 / 0.83,market,,,2023.02.28 20:52:26,filled,,,,,
2023.02.28 20:54:51,69457530,USDMXN,buy,1 / 1,market,,,2023.02.28 20:54:51,filled,,,,,
2023.02.28 21:05:24,69458326,EURGBP,sell,0.91 / 0.91, 0.87799,,,2023.02.28 21:05:24,filled,,[tp 0.87799],,,
2023.02.28 21:07:27,69458556,EURNOK,buy,0.07 / 0.07,market,,,2023.02.28 21:07:27,filled,,,,,
2023.02.28 21:16:37,69459272,EURMXN,sell,0.13 / 0.13,market,,,2023.02.28 21:16:37,filled,,,,,
2023.02.28 21:18:39,69459603,EURMXN,sell,0.44 / 0.44,market,,,2023.02.28 21:18:39,filled,,,,,
2023.02.28 21:38:11,69462832,EURMXN,sell,0.44 / 0.44,market, 19.44621, 19.38431,2023.02.28 21:38:11,filled,,,,,
2023.02.28 21:38:19,69462854,EURMXN,sell,0.88 / 0.88,market, 19.44621, 19.38431,2023.02.28 21:38:19,filled,,,,,
2023.02.28 21:39:30,69462954,EURMXN,sell,1.76 / 1.76,market, 19.44621, 19.38431,2023.02.28 21:39:30,filled,,,,,
2023.02.28 21:41:02,69463005,USDCAD,sell,0.76 / 0.76, 1.36247,,,2023.02.28 21:41:02,filled,,[tp 1.36247],,,
2023.02.28 21:41:12,69463030,EURMXN,sell,3.52 / 3.52,market, 19.44621, 19.38431,2023.02.28 21:41:12,filled,,,,,
2023.02.28 21:58:06,69464220,EURUSD,buy,0.4 / 0.4, 1.05844,,,2023.02.28 21:58:06,filled,,[tp 1.05844],,,
2023.02.28 22:24:55,69465629,EURMXN,sell,7.04 / 7.04,market, 19.44621, 19.38431,2023.02.28 22:24:55,filled,,,,,
2023.02.28 22:25:15,69465640,EURMXN,buy,14.08 / 14.08,market,,,2023.02.28 22:25:15,filled,,,,,
2023.02.28 22:26:36,69465680,USDMXN,sell,0.17 / 0.17,market,,,2023.02.28 22:26:36,filled,,,,,
2023.02.28 22:29:10,69465792,EURGBP,buy,1.1 / 1.1,market,,,2023.02.28 22:29:10,filled,,,,,
2023.02.28 22:32:45,69465894,USDMXN,buy,4.51 / 4.51,market,,,2023.02.28 22:32:45,filled,,,,,
2023.02.28 22:40:46,69466213,USDCAD,buy,2.4 / 2.4,market,,,2023.02.28 22:40:46,filled,,,,,
2023.02.28 22:57:26,69466631,USDMXN,sell,4.51 / 4.51, 18.29000,,,2023.02.28 22:57:26,filled,,[sl 18.29000],,,
2023.02.28 23:26:07,69467378,GBPJPY,sell,0.96 / 0.96,market,,,2023.02.28 23:26:07,filled,,,,,
2023.02.28 23:30:06,69467414,USDCAD,buy,1 / 1,market, 1.36251,,2023.02.28 23:30:06,filled,,,,,
2023.02.28 23:30:36,69467417,USDCAD,buy,4 / 4,market, 1.36251,,2023.02.28 23:30:36,filled,,,,,
2023.02.28 23:31:03,69467421,USDCAD,sell,2 / 2,market, 1.36251,,2023.02.28 23:31:03,filled,,,,,
2023.03.01 00:03:04,69467751,GBPJPY,buy,0.96 / 0.96, 163.710,,,2023.03.01 00:03:04,filled,,[tp 163.710],,,
2023.03.01 02:00:00,69468596,EURNOK,sell,0.07 / 0.07, 10.97880,,,2023.03.01 02:00:00,filled,,[tp 10.97880],,,
2023.03.01 05:23:46,69471477,USDCAD,sell,5.4 / 5.4, 1.36251,,,2023.03.01 05:23:46,filled,,[sl 1.36251],,,
2023.03.01 18:38:43,69525717,EURNOK,buy,0.62 / 0.62,market,,,2023.03.01 18:38:43,filled,,,,,
2023.03.01 18:43:57,69525975,EURCHF,buy,0.72 / 0.72,market,,,2023.03.01 18:43:57,filled,,,,,
2023.03.01 18:49:23,69526347,GBPJPY,buy,0.35 / 0.35,market,,,2023.03.01 18:49:23,filled,,,,,
2023.03.01 18:57:37,69526665,EURMXN,sell,0.15 / 0.15,market,,,2023.03.01 18:57:37,filled,,,,,
2023.03.01 19:05:23,69526949,GBPUSD,buy,0.41 / 0.41,market,,,2023.03.01 19:05:23,filled,,,,,
2023.03.01 19:10:11,69527176,EURUSD,buy,3.73 / 3.73,market,,,2023.03.01 19:10:11,filled,,,,,
2023.03.01 19:11:32,69527331,EURUSD,sell,3.73 / 3.73, 1.06744,,,2023.03.01 19:11:32,filled,,[sl 1.06744],,,
2023.03.01 19:14:29,69527486,USDMXN,sell,0.16 / 0.16,market,,,2023.03.01 19:14:29,filled,,,,,
2023.03.01 19:15:29,69527544,GBPUSD,sell,0.41 / 0.41, 1.20289,,,2023.03.01 19:15:29,filled,,[sl 1.20289],,,
2023.03.01 19:16:04,69527580,EURNOK,sell,0.62 / 0.62,market,,,2023.03.01 19:16:04,filled,,,,,
2023.03.01 19:21:11,69527759,USDCAD,buy,1.7 / 1.7,market,,,2023.03.01 19:21:11,filled,,,,,
2023.03.01 19:52:29,69528775,USDMXN,buy,0.16 / 0.16,market,,,2023.03.01 19:52:29,filled,,,,,
2023.03.01 19:53:07,69528801,EURMXN,buy,0.15 / 0.15,market,,,2023.03.01 19:53:07,filled,,,,,
2023.03.01 19:53:23,69528815,USDCAD,sell,1.7 / 1.7,market,,,2023.03.01 19:53:23,filled,,,,,
2023.03.01 19:53:47,69528824,GBPJPY,sell,0.35 / 0.35,market,,,2023.03.01 19:53:47,filled,,,,,
2023.03.01 19:55:27,69528851,EURUSD,buy,0.78 / 0.78,market,,,2023.03.01 19:55:27,filled,,,,,
2023.03.01 20:02:14,69529134,EURUSD,sell,0.78 / 0.78,market,,,2023.03.01 20:02:14,filled,,,,,
2023.03.01 20:06:52,69529318,USDCHF,buy,1.28 / 1.28,market,,,2023.03.01 20:06:52,filled,,,,,
2023.03.01 20:32:44,69530010,USDCHF,sell,1.28 / 1.28, 0.94045,,,2023.03.01 20:32:44,filled,,[tp 0.94045],,,
2023.03.02 00:03:55,69536354,EURCHF,sell,0.72 / 0.72, 1.00075,,,2023.03.02 00:03:55,filled,,[sl 1.00075],,,
2023.03.02 18:07:24,69580521,GBPJPY,buy,1.86 / 1.86,market,,,2023.03.02 18:07:24,filled,,,,,
2023.03.02 20:25:54,69589584,GBPJPY,sell,1.86 / 1.86,market,,,2023.03.02 20:25:54,filled,,,,,
2023.03.03 15:06:19,69622019,EURGBP,sell,1.1 / 1.1,market,,,2023.03.03 15:06:19,filled,,,,,
