opentime,Position,Symbol,Type,Volume,openprice,S / L,T / P,closetime,closeprice,Commission,Swap,Profit
2023.02.17 16:53:15,68955935,USDMXN,buy,0.01,18.5307,17.6307,18.5317,2023.03.02 14:52:38,18.16709,0,-3.52,-20.01
2023.02.21 15:21:00,69015535,EURUSD,sell,1,1.06613,,,2023.02.21 15:26:00,1.06585,0,0,28
2023.02.21 15:27:35,69015775,EURUSD,buy,1,1.06601,,,2023.02.24 15:17:14,1.05617,0,-26.61,-984
2023.02.23 16:23:31,69170062,EURGBP,buy,1,0.88091,,0.881,2023.02.23 17:50:37,0.88102,0,0,13.22
2023.02.23 22:57:28,69190598,USDCAD,buy,30,1.3543,,1.35415,2023.02.23 22:58:05,1.35415,0,0,-332.31
2023.02.23 23:04:06,69190809,EURGBP,buy,30,0.88188,,0.88195,2023.02.24 02:03:02,0.88195,0,-193.83,252.32
2023.02.23 23:06:19,69190857,USDCHF,buy,50,0.93388,,0.9337,2023.02.23 23:22:49,0.93372,0,0,-856.79
2023.02.24 15:20:36,69234524,EURGBP,buy,5,0.88226,,0.88225,2023.02.24 15:22:56,0.88225,0,0,-5.99
2023.02.24 16:38:51,69246345,EURGBP,buy,0.03,0.88307,,0.88301,2023.02.24 16:40:32,0.88304,0,0,-0.11
2023.02.24 16:39:22,69246795,USDCAD,buy,0.05,1.36424,,1.36425,2023.02.24 16:40:26,1.36429,0,0,0.18
2023.02.24 16:40:21,69247071,GBPUSD,buy,0.05,1.19573,,1.19572,2023.02.24 17:03:38,1.19576,0,0,0.15
2023.02.24 16:41:14,69247195,EURGBP,buy,0.05,0.88344,,0.8834,2023.02.24 18:31:35,0.88342,0,0,-0.12
2023.02.24 16:42:46,69247310,EURUSD,buy,0.05,1.05479,,1.055,2023.02.24 17:00:04,1.055,0,0,1.05
2023.02.24 16:43:48,69247579,GBPJPY,buy,0.05,162.735,,162.739,2023.02.24 16:49:52,162.74,0,0,0.18
2023.02.24 17:51:09,69256064,USDCAD,buy,1.23,1.36504,1.36278,1.365,2023.02.24 17:51:21,1.365,0,0,-3.6
2023.02.24 17:52:00,69256168,USDCAD,buy,1.23,1.36516,1.36278,1.36666,2023.02.24 18:09:06,1.36266,0,0,-225.66
2023.02.24 18:14:34,69259375,USDCHF,buy,10.15,0.93979,0.93819,0.94013,2023.02.24 19:48:57,0.94014,0,0,377.87
2023.02.24 18:27:48,69262206,USDCAD,sell,0.01,1.36145,1.36195,1.36045,2023.02.24 18:29:41,1.36187,0,0,-0.31
2023.02.24 19:20:53,69270962,EURUSD,buy,1.14,1.05492,1.05331,1.05518,2023.02.24 19:22:21,1.05518,0,0,29.64
2023.02.24 19:22:38,69271380,EURUSD,buy,1.14,1.05539,1.05389,1.05574,2023.02.24 19:33:16,1.05574,0,0,39.9
2023.02.24 21:29:53,69281987,USDCAD,buy,6.52,1.36119,1.36067,1.36201,2023.02.24 21:30:33,1.36087,0,0,-153.31
2023.02.24 21:30:42,69282012,USDCAD,sell,6.52,1.36091,1.36173,1.3604,2023.02.24 21:50:55,1.3604,0,0,244.43
2023.02.27 20:05:05,69351832,GBPJPY,buy,6.52,164.171,,,2023.02.27 20:05:28,164.141,0,0,-143.64
2023.02.27 20:05:38,69351841,GBPJPY,buy,2.23,164.166,163.726,164.294,2023.02.27 23:23:33,164.294,0,0,209.52
2023.02.27 20:08:10,69351897,EURGBP,buy,7.51,0.87959,0.87905,0.88004,2023.02.28 00:00:27,0.87863,0,-49.16,-869.46
2023.02.27 20:10:13,69351929,USDCAD,buy,22.13,1.35709,,,2023.02.28 15:05:15,1.35671,0,-35,-619.84
2023.02.28 15:07:20,69420989,USDCHF,buy,14.12,0.93689,0.93679,0.93709,2023.02.28 15:27:36,0.93678,0,0,-165.8
2023.02.28 15:37:19,69423086,EURUSD,buy,4.59,1.06202,1.06122,1.06242,2023.02.28 15:48:45,1.06242,0,0,183.6
2023.02.28 16:19:01,69426292,GBPJPY,sell,0.68,165.647,166.347,164.247,2023.02.28 19:48:47,164.246,0,0,701.38
2023.03.01 16:56:10,69517519,GBPUSD,sell,16.2,1.2015,1.20439,1.2012,2023.03.01 16:59:44,1.20118,0,0,518.4
2023.03.01 16:58:25,69517752,USDCHF,buy,2.06,0.93806,0.93585,0.93896,2023.03.01 17:00:36,0.93896,0,0,197.45
2023.03.02 05:55:25,69542746,USDCAD,buy,2.06,1.36106,1.36012,1.36216,2023.03.02 05:58:15,1.3609,0,0,-24.22
2023.03.02 05:58:25,69542772,USDCAD,buy,5.05,1.36121,1.36024,1.36231,2023.03.02 09:09:03,1.36022,0,0,-367.55
2023.03.02 05:59:45,69542777,EURUSD,sell,9.79,1.06449,1.06749,1.06399,2023.03.02 07:49:34,1.06397,0,0,509.08
